DATE,VALUE
2004-10-28,10004.54
2004-10-29,10027.47
2004-11-01,10054.39
2004-11-02,10035.73
2004-11-03,10137.05
2004-11-04,10314.76
2004-11-05,10387.54
2004-11-08,10391.31
2004-11-09,10386.37
2004-11-10,10385.48
2004-11-11,10469.84
2004-11-12,10539.01
2004-11-15,10550.24
2004-11-16,10487.65
2004-11-17,10549.57
2004-11-18,10572.55
2004-11-19,10456.91
2004-11-22,10489.42
2004-11-23,10492.60
2004-11-24,10520.31
2004-11-26,10522.23
2004-11-29,10475.90
2004-11-30,10428.02
2004-12-01,10590.22
2004-12-02,10585.12
2004-12-03,10592.21
2004-12-06,10547.06
2004-12-07,10440.58
2004-12-08,10494.23
2004-12-09,10552.82
2004-12-10,10543.22
2004-12-13,10638.32
2004-12-14,10676.45
2004-12-15,10691.45
2004-12-16,10705.64
2004-12-17,10649.92
2004-12-20,10661.60
2004-12-21,10759.43
2004-12-22,10815.89
2004-12-23,10827.12
2004-12-27,10776.13
2004-12-28,10854.54
2004-12-29,10829.19
2004-12-30,10800.30
2004-12-31,10783.01
2005-01-03,10729.43
2005-01-04,10630.78
2005-01-05,10597.83
2005-01-06,10622.88
2005-01-07,10603.96
2005-01-10,10621.03
2005-01-11,10556.22
2005-01-12,10617.78
2005-01-13,10505.83
2005-01-14,10558.00
2005-01-18,10628.79
2005-01-19,10539.97
2005-01-20,10471.47
2005-01-21,10392.99
2005-01-24,10368.61
2005-01-25,10461.56
2005-01-26,10498.59
2005-01-27,10467.40
2005-01-28,10427.20
2005-01-31,10489.94
2005-02-01,10551.94
2005-02-02,10596.79
2005-02-03,10593.10
2005-02-04,10716.13
2005-02-07,10715.76
2005-02-08,10724.63
2005-02-09,10664.11
2005-02-10,10749.61
2005-02-11,10796.01
2005-02-14,10791.13
2005-02-15,10837.32
2005-02-16,10834.88
2005-02-17,10754.26
2005-02-18,10785.22
2005-02-22,10611.20
2005-02-23,10673.79
2005-02-24,10748.79
2005-02-25,10841.60
2005-02-28,10766.23
2005-03-01,10830.00
2005-03-02,10811.97
2005-03-03,10833.03
2005-03-04,10940.55
2005-03-07,10936.86
2005-03-08,10912.62
2005-03-09,10805.62
2005-03-10,10851.51
2005-03-11,10774.36
2005-03-14,10804.51
2005-03-15,10745.10
2005-03-16,10633.07
2005-03-17,10626.35
2005-03-18,10629.67
2005-03-21,10565.39
2005-03-22,10470.51
2005-03-23,10456.02
2005-03-24,10442.87
2005-03-28,10485.65
2005-03-29,10405.70
2005-03-30,10540.93
2005-03-31,10503.76
2005-04-01,10404.30
2005-04-04,10421.14
2005-04-05,10458.46
2005-04-06,10486.02
2005-04-07,10546.32
2005-04-08,10461.34
2005-04-11,10448.56
2005-04-12,10507.97
2005-04-13,10403.93
2005-04-14,10278.75
2005-04-15,10087.51
2005-04-18,10071.25
2005-04-19,10127.41
2005-04-20,10012.36
2005-04-21,10218.60
2005-04-22,10157.71
2005-04-25,10242.47
2005-04-26,10151.13
2005-04-27,10198.80
2005-04-28,10070.37
2005-04-29,10192.51
2005-05-02,10251.70
2005-05-03,10256.95
2005-05-04,10384.64
2005-05-05,10340.38
2005-05-06,10345.40
2005-05-09,10384.34
2005-05-10,10281.11
2005-05-11,10300.25
2005-05-12,10189.48
2005-05-13,10140.12
2005-05-16,10252.29
2005-05-17,10331.88
2005-05-18,10464.45
2005-05-19,10493.19
2005-05-20,10471.91
2005-05-23,10523.56
2005-05-24,10503.68
2005-05-25,10457.80
2005-05-26,10537.60
2005-05-27,10542.55
2005-05-31,10467.48
2005-06-01,10549.87
2005-06-02,10553.49
2005-06-03,10460.97
2005-06-06,10467.03
2005-06-07,10483.07
2005-06-08,10476.86
2005-06-09,10503.02
2005-06-10,10512.63
2005-06-13,10522.56
2005-06-14,10547.57
2005-06-15,10566.37
2005-06-16,10578.65
2005-06-17,10623.07
2005-06-20,10609.11
2005-06-21,10599.67
2005-06-22,10587.93
2005-06-23,10421.44
2005-06-24,10297.84
2005-06-27,10290.78
2005-06-28,10405.63
2005-06-29,10374.48
2005-06-30,10274.97
2005-07-01,10303.44
2005-07-05,10371.80
2005-07-06,10270.68
2005-07-07,10302.29
2005-07-08,10449.14
2005-07-11,10519.72
2005-07-12,10513.89
2005-07-13,10557.39
2005-07-14,10628.89
2005-07-15,10640.83
2005-07-18,10574.99
2005-07-19,10646.56
2005-07-20,10689.15
2005-07-21,10627.77
2005-07-22,10651.18
2005-07-25,10596.48
2005-07-26,10579.77
2005-07-27,10637.09
2005-07-28,10705.55
2005-07-29,10640.91
2005-08-01,10623.15
2005-08-02,10683.74
2005-08-03,10697.59
2005-08-04,10610.10
2005-08-05,10558.03
2005-08-08,10536.93
2005-08-09,10615.67
2005-08-10,10594.41
2005-08-11,10685.89
2005-08-12,10600.31
2005-08-15,10634.38
2005-08-16,10513.45
2005-08-17,10550.71
2005-08-18,10554.93
2005-08-19,10559.23
2005-08-22,10569.89
2005-08-23,10519.58
2005-08-24,10434.87
2005-08-25,10450.63
2005-08-26,10397.29
2005-08-29,10463.05
2005-08-30,10412.82
2005-08-31,10481.60
2005-09-01,10459.63
2005-09-02,10447.37
2005-09-06,10589.24
2005-09-07,10633.50
2005-09-08,10595.93
2005-09-09,10678.56
2005-09-12,10682.94
2005-09-13,10597.44
2005-09-14,10544.90
2005-09-15,10558.75
2005-09-16,10641.94
2005-09-19,10557.63
2005-09-20,10481.52
2005-09-21,10378.03
2005-09-22,10422.05
2005-09-23,10419.59
2005-09-26,10443.63
2005-09-27,10456.21
2005-09-28,10473.09
2005-09-29,10552.78
2005-09-30,10568.70
2005-10-03,10535.48
2005-10-04,10441.11
2005-10-05,10317.36
2005-10-06,10287.10
2005-10-07,10292.31
2005-10-10,10238.76
2005-10-11,10253.17
2005-10-12,10216.91
2005-10-13,10216.59
2005-10-14,10287.34
2005-10-17,10348.10
2005-10-18,10285.26
2005-10-19,10414.13
2005-10-20,10281.10
2005-10-21,10215.22
2005-10-24,10385.00
2005-10-25,10377.87
2005-10-26,10344.98
2005-10-27,10229.95
2005-10-28,10402.77
2005-10-31,10440.07
2005-11-01,10406.77
2005-11-02,10472.73
2005-11-03,10522.59
2005-11-04,10530.76
2005-11-07,10586.23
2005-11-08,10539.72
2005-11-09,10546.21
2005-11-10,10640.10
2005-11-11,10686.04
2005-11-14,10697.17
2005-11-15,10686.44
2005-11-16,10674.76
2005-11-17,10720.22
2005-11-18,10766.33
2005-11-21,10820.28
2005-11-22,10871.43
2005-11-23,10916.09
2005-11-25,10931.62
2005-11-28,10890.72
2005-11-29,10888.16
2005-11-30,10805.87
2005-12-01,10912.57
2005-12-02,10877.51
2005-12-05,10835.01
2005-12-06,10856.86
2005-12-07,10810.91
2005-12-08,10755.12
2005-12-09,10778.58
2005-12-12,10767.77
2005-12-13,10823.72
2005-12-14,10883.51
2005-12-15,10881.67
2005-12-16,10875.59
2005-12-19,10836.53
2005-12-20,10805.55
2005-12-21,10833.73
2005-12-22,10889.44
2005-12-23,10883.27
2005-12-27,10777.77
2005-12-28,10796.26
2005-12-29,10784.82
2005-12-30,10717.50
2006-01-03,10847.41
2006-01-04,10880.15
2006-01-05,10882.15
2006-01-06,10959.31
2006-01-09,11011.90
2006-01-10,11011.58
2006-01-11,11043.44
2006-01-12,10962.36
2006-01-13,10959.87
2006-01-17,10896.32
2006-01-18,10854.86
2006-01-19,10880.71
2006-01-20,10667.39
2006-01-23,10688.77
2006-01-24,10712.22
2006-01-25,10709.74
2006-01-26,10809.47
2006-01-27,10907.21
2006-01-30,10899.92
2006-01-31,10864.86
2006-02-01,10953.95
2006-02-02,10851.98
2006-02-03,10793.62
2006-02-06,10798.27
2006-02-07,10749.76
2006-02-08,10858.62
2006-02-09,10883.35
2006-02-10,10919.05
2006-02-13,10892.32
2006-02-14,11028.39
2006-02-15,11058.97
2006-02-16,11120.68
2006-02-17,11115.32
2006-02-21,11069.06
2006-02-22,11137.17
2006-02-23,11069.22
2006-02-24,11061.85
2006-02-27,11097.55
2006-02-28,10993.41
2006-03-01,11053.53
2006-03-02,11025.51
2006-03-03,11021.59
2006-03-06,10958.59
2006-03-07,10980.69
2006-03-08,11005.74
2006-03-09,10972.28
2006-03-10,11076.34
2006-03-13,11076.02
2006-03-14,11151.34
2006-03-15,11209.77
2006-03-16,11253.24
2006-03-17,11279.65
2006-03-20,11274.53
2006-03-21,11235.47
2006-03-22,11317.43
2006-03-23,11270.29
2006-03-24,11279.97
2006-03-27,11250.11
2006-03-28,11154.54
2006-03-29,11215.70
2006-03-30,11150.70
2006-03-31,11109.32
2006-04-03,11144.94
2006-04-04,11203.85
2006-04-05,11239.55
2006-04-06,11216.50
2006-04-07,11120.04
2006-04-10,11141.33
2006-04-11,11089.63
2006-04-12,11129.97
2006-04-13,11137.65
2006-04-17,11073.78
2006-04-18,11268.77
2006-04-19,11278.77
2006-04-20,11342.89
2006-04-21,11347.45
2006-04-24,11336.32
2006-04-25,11283.25
2006-04-26,11354.49
2006-04-27,11382.51
2006-04-28,11367.14
2006-05-01,11343.29
2006-05-02,11416.45
2006-05-03,11400.28
2006-05-04,11438.86
2006-05-05,11577.74
2006-05-08,11584.54
2006-05-09,11639.77
2006-05-10,11642.65
2006-05-11,11500.73
2006-05-12,11380.99
2006-05-15,11428.77
2006-05-16,11419.89
2006-05-17,11205.61
2006-05-18,11128.29
2006-05-19,11144.06
2006-05-22,11125.33
2006-05-23,11098.35
2006-05-24,11117.32
2006-05-25,11211.05
2006-05-26,11278.61
2006-05-30,11094.43
2006-05-31,11168.31
2006-06-01,11260.28
2006-06-02,11247.87
2006-06-05,11048.72
2006-06-06,11002.14
2006-06-07,10930.90
2006-06-08,10938.82
2006-06-09,10891.92
2006-06-12,10792.58
2006-06-13,10706.14
2006-06-14,10816.92
2006-06-15,11015.19
2006-06-16,11014.55
2006-06-19,10942.11
2006-06-20,10974.84
2006-06-21,11079.46
2006-06-22,11019.11
2006-06-23,10989.09
2006-06-26,11045.28
2006-06-27,10924.74
2006-06-28,10973.56
2006-06-29,11190.80
2006-06-30,11150.22
2006-07-03,11228.02
2006-07-05,11151.82
2006-07-06,11225.30
2006-07-07,11090.67
2006-07-10,11103.55
2006-07-11,11134.77
2006-07-12,11013.18
2006-07-13,10846.29
2006-07-14,10739.35
2006-07-17,10747.36
2006-07-18,10799.23
2006-07-19,11011.42
2006-07-20,10928.10
2006-07-21,10868.38
2006-07-24,11051.05
2006-07-25,11103.71
2006-07-26,11102.51
2006-07-27,11100.43
2006-07-28,11219.70
2006-07-31,11185.68
2006-08-01,11125.73
2006-08-02,11199.93
2006-08-03,11242.59
2006-08-04,11240.35
2006-08-07,11219.38
2006-08-08,11173.59
2006-08-09,11076.18
2006-08-10,11124.37
2006-08-11,11088.03
2006-08-14,11097.87
2006-08-15,11230.26
2006-08-16,11327.12
2006-08-17,11334.96
2006-08-18,11381.47
2006-08-21,11345.05
2006-08-22,11339.84
2006-08-23,11297.90
2006-08-24,11304.46
2006-08-25,11284.05
2006-08-28,11352.01
2006-08-29,11369.94
2006-08-30,11382.91
2006-08-31,11381.15
2006-09-01,11464.15
2006-09-05,11469.28
2006-09-06,11406.20
2006-09-07,11331.44
2006-09-08,11392.11
2006-09-11,11396.84
2006-09-12,11498.09
2006-09-13,11543.32
2006-09-14,11527.39
2006-09-15,11560.77
2006-09-18,11555.00
2006-09-19,11540.91
2006-09-20,11613.19
2006-09-21,11533.23
2006-09-22,11508.10
2006-09-25,11575.81
2006-09-26,11669.39
2006-09-27,11689.24
2006-09-28,11718.45
2006-09-29,11679.07
2006-10-02,11670.35
2006-10-03,11727.34
2006-10-04,11850.61
2006-10-05,11866.69
2006-10-06,11850.21
2006-10-09,11857.81
2006-10-10,11867.17
2006-10-11,11852.13
2006-10-12,11947.70
2006-10-13,11960.51
2006-10-16,11980.60
2006-10-17,11950.02
2006-10-18,11992.68
2006-10-19,12011.73
2006-10-20,12002.37
2006-10-23,12116.91
2006-10-24,12127.88
2006-10-25,12134.68
2006-10-26,12163.66
2006-10-27,12090.26
2006-10-30,12086.50
2006-10-31,12080.73
2006-11-01,12031.02
2006-11-02,12018.54
2006-11-03,11986.04
2006-11-06,12105.55
2006-11-07,12156.77
2006-11-08,12176.54
2006-11-09,12103.30
2006-11-10,12108.43
2006-11-13,12131.88
2006-11-14,12218.01
2006-11-15,12251.71
2006-11-16,12305.82
2006-11-17,12342.56
2006-11-20,12316.54
2006-11-21,12321.59
2006-11-22,12326.95
2006-11-24,12280.17
2006-11-27,12121.71
2006-11-28,12136.45
2006-11-29,12226.73
2006-11-30,12221.93
2006-12-01,12194.13
2006-12-04,12283.85
2006-12-05,12331.60
2006-12-06,12309.25
2006-12-07,12278.41
2006-12-08,12307.49
2006-12-11,12328.48
2006-12-12,12315.58
2006-12-13,12317.50
2006-12-14,12416.76
2006-12-15,12445.52
2006-12-18,12441.27
2006-12-19,12471.32
2006-12-20,12463.87
2006-12-21,12421.25
2006-12-22,12343.22
2006-12-26,12407.63
2006-12-27,12510.57
2006-12-28,12501.52
2006-12-29,12463.15
2007-01-03,12474.52
2007-01-04,12480.69
2007-01-05,12398.01
2007-01-08,12423.49
2007-01-09,12416.60
2007-01-10,12442.16
2007-01-11,12514.98
2007-01-12,12556.08
2007-01-16,12582.59
2007-01-17,12577.15
2007-01-18,12567.93
2007-01-19,12565.53
2007-01-22,12477.17
2007-01-23,12533.80
2007-01-24,12621.77
2007-01-25,12502.56
2007-01-26,12487.02
2007-01-29,12490.78
2007-01-30,12523.31
2007-01-31,12621.69
2007-02-01,12673.68
2007-02-02,12653.49
2007-02-05,12661.74
2007-02-06,12666.31
2007-02-07,12666.87
2007-02-08,12637.63
2007-02-09,12580.83
2007-02-12,12552.55
2007-02-13,12654.85
2007-02-14,12741.86
2007-02-15,12765.01
2007-02-16,12767.57
2007-02-20,12786.64
2007-02-21,12738.41
2007-02-22,12686.02
2007-02-23,12647.48
2007-02-26,12632.26
2007-02-27,12216.24
2007-02-28,12268.63
2007-03-01,12234.34
2007-03-02,12114.10
2007-03-05,12050.41
2007-03-06,12207.59
2007-03-07,12192.45
2007-03-08,12260.70
2007-03-09,12276.32
2007-03-12,12318.62
2007-03-13,12075.96
2007-03-14,12133.40
2007-03-15,12159.68
2007-03-16,12110.41
2007-03-19,12226.17
2007-03-20,12288.10
2007-03-21,12447.52
2007-03-22,12461.14
2007-03-23,12481.01
2007-03-26,12469.07
2007-03-27,12397.29
2007-03-28,12300.36
2007-03-29,12348.75
2007-03-30,12354.35
2007-04-02,12382.30
2007-04-03,12510.30
2007-04-04,12530.05
2007-04-05,12560.20
2007-04-09,12569.14
2007-04-10,12573.85
2007-04-11,12484.62
2007-04-12,12552.96
2007-04-13,12612.13
2007-04-16,12720.46
2007-04-17,12773.04
2007-04-18,12803.84
2007-04-19,12808.63
2007-04-20,12961.98
2007-04-23,12919.40
2007-04-24,12953.94
2007-04-25,13089.89
2007-04-26,13105.50
2007-04-27,13120.94
2007-04-30,13062.91
2007-05-01,13136.14
2007-05-02,13211.88
2007-05-03,13241.38
2007-05-04,13264.62
2007-05-07,13312.97
2007-05-08,13309.07
2007-05-09,13362.87
2007-05-10,13215.13
2007-05-11,13326.22
2007-05-14,13346.78
2007-05-15,13383.84
2007-05-16,13487.53
2007-05-17,13476.73
2007-05-18,13556.53
2007-05-21,13542.88
2007-05-22,13539.95
2007-05-23,13525.65
2007-05-24,13441.13
2007-05-25,13507.28
2007-05-29,13521.34
2007-05-30,13633.08
2007-05-31,13627.64
2007-06-01,13668.11
2007-06-04,13676.32
2007-06-05,13595.46
2007-06-06,13465.67
2007-06-07,13266.73
2007-06-08,13424.39
2007-06-11,13424.96
2007-06-12,13295.01
2007-06-13,13482.35
2007-06-14,13553.72
2007-06-15,13639.48
2007-06-18,13612.98
2007-06-19,13635.42
2007-06-20,13489.42
2007-06-21,13545.84
2007-06-22,13360.26
2007-06-25,13352.05
2007-06-26,13337.66
2007-06-27,13427.73
2007-06-28,13422.28
2007-06-29,13408.62
2007-07-02,13535.43
2007-07-03,13577.30
2007-07-05,13565.84
2007-07-06,13611.68
2007-07-09,13649.97
2007-07-10,13501.70
2007-07-11,13577.87
2007-07-12,13861.73
2007-07-13,13907.25
2007-07-16,13950.98
2007-07-17,13971.55
2007-07-18,13918.22
2007-07-19,14000.41
2007-07-20,13851.08
2007-07-23,13943.42
2007-07-24,13716.95
2007-07-25,13785.07
2007-07-26,13473.57
2007-07-27,13265.47
2007-07-30,13358.31
2007-07-31,13211.99
2007-08-01,13362.37
2007-08-02,13463.33
2007-08-03,13181.91
2007-08-06,13468.78
2007-08-07,13504.30
2007-08-08,13657.86
2007-08-09,13270.68
2007-08-10,13239.54
2007-08-14,13028.92
2007-08-15,12861.47
2007-08-16,12845.78
2007-08-17,13079.08
2007-08-20,13121.35
2007-08-21,13090.86
2007-08-22,13236.13
2007-08-23,13235.88
2007-08-24,13378.87
2007-08-27,13322.13
2007-08-28,13041.85
2007-08-29,13289.29
2007-08-30,13238.73
2007-08-31,13357.74
2007-09-04,13448.86
2007-09-05,13305.47
2007-09-06,13363.35
2007-09-07,13113.38
2007-09-10,13127.85
2007-09-11,13308.39
2007-09-12,13291.65
2007-09-13,13424.88
2007-09-14,13442.52
2007-09-17,13403.42
2007-09-18,13739.39
2007-09-19,13815.56
2007-09-20,13766.70
2007-09-21,13820.19
2007-09-24,13759.06
2007-09-25,13778.65
2007-09-26,13878.15
2007-09-27,13912.94
2007-09-28,13895.63
2007-10-01,14087.55
2007-10-02,14047.31
2007-10-03,13968.05
2007-10-04,13974.31
2007-10-05,14066.01
2007-10-08,14043.73
2007-10-09,14164.53
2007-10-10,14078.69
2007-10-11,14015.12
2007-10-12,14093.08
2007-10-15,13984.80
2007-10-16,13912.94
2007-10-17,13892.54
2007-10-18,13888.96
2007-10-19,13522.02
2007-10-22,13566.97
2007-10-23,13676.23
2007-10-24,13675.25
2007-10-25,13671.92
2007-10-26,13806.70
2007-10-29,13870.26
2007-10-30,13792.47
2007-10-31,13930.01
2007-11-01,13567.87
2007-11-02,13595.10
2007-11-05,13543.40
2007-11-06,13660.94
2007-11-07,13300.02
2007-11-08,13266.29
2007-11-09,13042.74
2007-11-12,12987.55
2007-11-13,13307.09
2007-11-14,13231.01
2007-11-15,13110.05
2007-11-16,13176.79
2007-11-19,12958.44
2007-11-20,13010.14
2007-11-21,12799.04
2007-11-23,12980.88
2007-11-26,12743.44
2007-11-27,12958.44
2007-11-28,13289.45
2007-11-29,13311.73
2007-11-30,13371.72
2007-12-03,13314.57
2007-12-04,13248.73
2007-12-05,13444.96
2007-12-06,13619.89
2007-12-07,13625.58
2007-12-10,13727.03
2007-12-11,13432.77
2007-12-12,13473.90
2007-12-13,13517.96
2007-12-14,13339.85
2007-12-17,13167.20
2007-12-18,13232.47
2007-12-19,13207.27
2007-12-20,13245.64
2007-12-21,13450.65
2007-12-24,13549.33
2007-12-26,13551.69
2007-12-27,13359.61
2007-12-28,13365.87
2007-12-31,13264.82
2008-01-02,13043.96
2008-01-03,13056.72
2008-01-04,12800.18
2008-01-07,12827.49
2008-01-08,12589.07
2008-01-09,12735.31
2008-01-10,12853.09
2008-01-11,12606.30
2008-01-14,12778.15
2008-01-15,12501.11
2008-01-16,12466.16
2008-01-17,12159.21
2008-01-18,12099.30
2008-01-22,11971.19
2008-01-23,12270.17
2008-01-24,12378.61
2008-01-25,12207.17
2008-01-28,12383.89
2008-01-29,12480.30
2008-01-30,12442.83
2008-01-31,12650.36
2008-02-01,12743.19
2008-02-04,12635.16
2008-02-05,12265.13
2008-02-06,12200.10
2008-02-07,12247.00
2008-02-08,12182.13
2008-02-11,12240.01
2008-02-12,12373.41
2008-02-13,12552.24
2008-02-14,12376.98
2008-02-15,12348.21
2008-02-19,12337.22
2008-02-20,12427.26
2008-02-21,12284.30
2008-02-22,12381.02
2008-02-25,12570.22
2008-02-26,12684.92
2008-02-27,12694.28
2008-02-28,12582.18
2008-02-29,12266.39
2008-03-03,12258.90
2008-03-04,12213.80
2008-03-05,12254.99
2008-03-06,12040.39
2008-03-07,11893.69
2008-03-10,11740.15
2008-03-11,12156.81
2008-03-12,12110.24
2008-03-13,12145.74
2008-03-14,11951.09
2008-03-17,11972.25
2008-03-18,12392.66
2008-03-19,12099.66
2008-03-20,12361.32
2008-03-24,12548.64
2008-03-25,12532.60
2008-03-26,12422.86
2008-03-27,12302.46
2008-03-28,12216.40
2008-03-31,12262.89
2008-04-01,12654.36
2008-04-02,12605.83
2008-04-03,12626.03
2008-04-04,12609.42
2008-04-07,12612.43
2008-04-08,12576.44
2008-04-09,12527.26
2008-04-10,12581.98
2008-04-11,12325.42
2008-04-14,12302.06
2008-04-15,12362.47
2008-04-16,12619.27
2008-04-17,12620.49
2008-04-18,12849.36
2008-04-21,12825.02
2008-04-22,12720.23
2008-04-23,12763.22
2008-04-24,12848.95
2008-04-25,12891.86
2008-04-28,12871.75
2008-04-29,12831.94
2008-04-30,12820.13
2008-05-01,13010.00
2008-05-02,13058.20
2008-05-05,12969.54
2008-05-06,13020.83
2008-05-07,12814.35
2008-05-08,12866.78
2008-05-09,12745.88
2008-05-12,12876.31
2008-05-13,12832.18
2008-05-14,12898.38
2008-05-15,12992.66
2008-05-16,12986.80
2008-05-19,13028.16
2008-05-20,12828.68
2008-05-21,12601.19
2008-05-22,12625.62
2008-05-23,12479.63
2008-05-27,12548.35
2008-05-28,12594.03
2008-05-29,12646.22
2008-05-30,12638.32
2008-06-02,12503.82
2008-06-03,12402.85
2008-06-04,12390.48
2008-06-05,12604.45
2008-06-06,12209.81
2008-06-09,12280.32
2008-06-10,12289.76
2008-06-11,12083.77
2008-06-12,12141.58
2008-06-13,12307.35
2008-06-16,12269.08
2008-06-17,12160.30
2008-06-18,12029.06
2008-06-19,12063.09
2008-06-20,11842.69
2008-06-23,11842.36
2008-06-24,11807.43
2008-06-25,11811.83
2008-06-26,11453.42
2008-06-27,11346.51
2008-06-30,11350.01
2008-07-01,11382.26
2008-07-02,11215.51
2008-07-03,11288.54
2008-07-07,11231.96
2008-07-08,11384.21
2008-07-09,11147.44
2008-07-10,11229.02
2008-07-11,11100.54
2008-07-14,11055.19
2008-07-15,10962.54
2008-07-16,11239.28
2008-07-17,11446.66
2008-07-18,11496.57
2008-07-21,11467.34
2008-07-22,11602.50
2008-07-23,11632.38
2008-07-24,11349.28
2008-07-25,11370.69
2008-07-28,11131.08
2008-07-29,11397.56
2008-07-30,11583.69
2008-07-31,11378.02
2008-08-01,11326.32
2008-08-04,11284.15
2008-08-05,11615.77
2008-08-06,11656.07
2008-08-07,11431.43
2008-08-08,11734.32
2008-08-11,11782.35
2008-08-12,11642.47
2008-08-13,11532.96
2008-08-14,11615.93
2008-08-15,11659.90
2008-08-18,11479.39
2008-08-19,11348.55
